Ticker,Name,Exchange,Category,Country,SE_Name
WEC.AX,White Energy Company Limited,ASX,Industrial Metals & Minerals,Australia,Australia Stock Exchange
WBC.AX,Westpac Banking Corporation,ASX,Money Center Banks,Australia,Australia Stock Exchange
WBA.AX,Webster Limited,ASX,Farm Products,Australia,Australia Stock Exchange
SDL.AX,Sundance Resources Limited,ASX,Industrial Metals & Minerals,Australia,Australia Stock Exchange
VIP.AX,Voltage IP Limited,ASX,Rubber & Plastics,Australia,Australia Stock Exchange
VII.AX,Vietnam Industrial Investments Limited,ASX,Steel & Iron,Australia,Australia Stock Exchange
VIE.AX,Viento Group Limited,ASX,Other Category,Australia,Australia Stock Exchange
UGL.AX,UGL Limited,ASX,Other Category,Australia,Australia Stock Exchange
TPM.AX,TPG Telecom Limited,ASX,Wireless Communications,Australia,Australia Stock Exchange
TGZ.AX,Teranga Gold Corporation,ASX,Gold,Australia,Australia Stock Exchange
TGR.AX,Tassal Group Limited,ASX,Confectioners,Australia,Australia Stock Exchange
TCN.AX,Techniche Ltd.,ASX,Information Technology Services,Australia,Australia Stock Exchange
TCL.AX,Transurban Group,ASX,Heavy Construction,Australia,Australia Stock Exchange
SUD.AX,Suda Limited,ASX,Biotechnology,Australia,Australia Stock Exchange
RRS.AX,Range Resources Limited,ASX,Other Category,Australia,Australia Stock Exchange
RHC.AX,Ramsay Health Care Limited,ASX,Hospitals,Australia,Australia Stock Exchange
PLS.AX,Pilbara Minerals Limited,ASX,Industrial Metals & Minerals,Australia,Australia Stock Exchange
OZL.AX,OZ Minerals Limited,ASX,Copper,Australia,Australia Stock Exchange
OKU.AX,Oklo Resources Limited,ASX,Other Category,Australia,Australia Stock Exchange
NSX.AX,NSX Limited,ASX,Other Category,Australia,Australia Stock Exchange
NOE.AX,Novarise Renewable Resources International Limited,ASX,Other Category,Australia,Australia Stock Exchange
NML.AX,Navarre Minerals Limited,ASX,Industrial Metals & Minerals,Australia,Australia Stock Exchange
MYR.AX,Myer Holdings Limited,ASX,Department Stores,Australia,Australia Stock Exchange
MOC.AX,Mortgage Choice Limited,ASX,Savings & Loans,Australia,Australia Stock Exchange
MMR.AX,MEC Resources Limited,ASX,Independent Oil & Gas,Australia,Australia Stock Exchange
MKO.AX,Echo Resources Limited,ASX,Other Category,Australia,Australia Stock Exchange
LNR.AX,Lonestar Resources Limited,ASX,Other Category,Australia,Australia Stock Exchange
KRS.AX,Kresta Holdings Limited,ASX,Home Furnishings & Fixtures,Australia,Australia Stock Exchange
KNH.AX,Koon Holdings Limited,ASX,Other Category,Australia,Australia Stock Exchange
KKT.AX,Konekt Limited,ASX,Other Category,Australia,Australia Stock Exchange
KAS.AX,Kasbah Resources Limited,ASX,Copper,Australia,Australia Stock Exchange
JRV.AX,Jervois Mining Limited,ASX,Copper,Australia,Australia Stock Exchange
ORS.AX,Octagonal Resources Limited,ASX,Other Category,Australia,Australia Stock Exchange
IMU.AX,Imugene Limited,ASX,Biotechnology,Australia,Australia Stock Exchange
ILU.AX,Iluka Resources Limited,ASX,Industrial Metals & Minerals,Australia,Australia Stock Exchange
HVN.AX,Harvey Norman Holdings Limited,ASX,Department Stores,Australia,Australia Stock Exchange
GNC.AX,GrainCorp Limited,ASX,Farm Products,Australia,Australia Stock Exchange
GML.AX,Gateway Mining Limited,ASX,Other Category,Australia,Australia Stock Exchange
GID.AX,"GI Dynamics, Inc.",ASX,Medical Appliances & Equipment,Australia,Australia Stock Exchange
COH.AX,Cochlear Limited,ASX,Medical Appliances & Equipment,Australia,Australia Stock Exchange
SPX.AX,Spectrum Rare Earths Limited,ASX,Industrial Metals & Minerals,Australia,Australia Stock Exchange
BLD.AX,Boral Limited,ASX,General Building Materials,Australia,Australia Stock Exchange
BEN.AX,Bendigo and Adelaide Bank Limited,ASX,Money Center Banks,Australia,Australia Stock Exchange
ASX.AX,ASX Limited,ASX,Asset Management,Australia,Australia Stock Exchange
AMP.AX,AMP Limited,ASX,Life Insurance,Australia,Australia Stock Exchange
3DM.AX,Mach7 Technologies Limited,ASX,Other Category,Australia,Australia Stock Exchange
IIN.AX,iiNet Ltd.,ASX,Other Category,Australia,Australia Stock Exchange
YAL.AX,Yancoal Australia Ltd,ASX,Industrial Metals & Minerals,Australia,Australia Stock Exchange
XTD.AX,XTD Limited,ASX,Marketing Services,Australia,Australia Stock Exchange
WTR.AX,World Titanium Resources Limited,ASX,Other Category,Australia,Australia Stock Exchange
WFD.AX,Westfield Corporation Limited,ASX,Property Management,Australia,Australia Stock Exchange
WCP.AX,WCP Resources Limited,ASX,Other Category,Australia,Australia Stock Exchange
WBAPA.AX,Webster Limited,ASX,Other Category,Australia,Australia Stock Exchange
VELIN.AX,Vealls Limited,ASX,Other Category,Australia,Australia Stock Exchange
UUL.AX,Ultima United Limited,ASX,Real Estate Development,Australia,Australia Stock Exchange
USG.AX,"US Select Private Opportunities Fund II, L.P.",ASX,Other Category,Australia,Australia Stock Exchange
UOS.AX,United Overseas Australia Limited,ASX,Property Management,Australia,Australia Stock Exchange
UCM.AX,Uscom Limited,ASX,Medical Appliances & Equipment,Australia,Australia Stock Exchange
UBI.AX,"Universal Biosensors, Inc.",ASX,Medical Appliances & Equipment,Australia,Australia Stock Exchange
TZN.AX,Terramin Australia Limited,ASX,Copper,Australia,Australia Stock Exchange
TWE.AX,Treasury Wine Estates Limited,ASX,Beverages - Wineries & Distillers,Australia,Australia Stock Exchange
TPI.AX,Cleanaway Waste Management Limited,ASX,Other Category,Australia,Australia Stock Exchange
TGS.AX,Tiger Resources Limited,ASX,Other Category,Australia,Australia Stock Exchange
TEN.AX,Ten Network Holdings Limited,ASX,Broadcasting - TV,Australia,Australia Stock Exchange
SOO.AX,Go Energy Group Limited,ASX,Other Category,Australia,Australia Stock Exchange
KRA.AX,BuyMyPlace.com.au Limited,ASX,Other Category,Australia,Australia Stock Exchange
SIQ.AX,Smartgroup Corporation Ltd,ASX,Business Services,Australia,Australia Stock Exchange
SIP.AX,Sigma Pharmaceuticals Limited,ASX,Other Category,Australia,Australia Stock Exchange
SHV.AX,Select Harvests Limited,ASX,Farm Products,Australia,Australia Stock Exchange
SEN.AX,Senetas Corporation Limited,ASX,Technical & System Software,Australia,Australia Stock Exchange
SDF.AX,Steadfast Group Limited,ASX,Insurance Brokers,Australia,Australia Stock Exchange
SBM.AX,St Barbara Limited,ASX,Other Category,Australia,Australia Stock Exchange
SAI.AX,SAI Global Limited,ASX,Other Category,Australia,Australia Stock Exchange
RBX.AX,Resource Base Limited,ASX,Gold,Australia,Australia Stock Exchange
RIS.AX,Richfield International Limited,ASX,Other Category,Australia,Australia Stock Exchange
RIO.AX,Rio Tinto Limited,ASX,Other Category,Australia,Australia Stock Exchange
PYC.AX,Phylogica Limited,ASX,Biotechnology,Australia,Australia Stock Exchange
PSA.AX,Petsec Energy Ltd,ASX,Independent Oil & Gas,Australia,Australia Stock Exchange
PPT.AX,Perpetual Limited,ASX,Asset Management,Australia,Australia Stock Exchange
PMV.AX,Premier Investments Limited,ASX,Apparel Stores,Australia,Australia Stock Exchange
PEK.AX,Peak Resources Limited,ASX,Copper,Australia,Australia Stock Exchange
PDN.AX,Paladin Energy Ltd,ASX,Industrial Metals & Minerals,Australia,Australia Stock Exchange
PBP.AX,Probiotec Limited,ASX,Drugs - Generic,Australia,Australia Stock Exchange
PAY.AX,Payce Consolidated Ltd.,ASX,Other Category,Australia,Australia Stock Exchange
PAN.AX,Panoramic Resources Limited,ASX,Industrial Metals & Minerals,Australia,Australia Stock Exchange
ORI.AX,Orica Limited,ASX,Specialty Chemicals,Australia,Australia Stock Exchange
OFX.AX,OFX Group Limited,ASX,Business Services,Australia,Australia Stock Exchange
NTM.AX,NTM Gold Limited,ASX,Industrial Metals & Minerals,Australia,Australia Stock Exchange
NSP.AX,Memphasys Limited,ASX,Other Category,Australia,Australia Stock Exchange
NOD.AX,Onterran Limited,ASX,Other Category,Australia,Australia Stock Exchange
NIO.AX,Nickelore Limited,ASX,Other Category,Australia,Australia Stock Exchange
NHF.AX,NIB Holdings Limited,ASX,Accident & Health Insurance,Australia,Australia Stock Exchange
MYX.AX,Mayne Pharma Group Limited,ASX,Drug Manufacturers - Major,Australia,Australia Stock Exchange
MYN.AX,Anson Resources Limited,ASX,Other Category,Australia,Australia Stock Exchange
MQA.AX,Macquarie Atlas Roads Group,ASX,Heavy Construction,Australia,Australia Stock Exchange
MOL.AX,MOLY MINES FPO,ASX,Other Category,Australia,Australia Stock Exchange
MNY.AX,Money3 Corporation Limited,ASX,Credit Services,Australia,Australia Stock Exchange
MIG.AX,migme Limited,ASX,Other Category,Australia,Australia Stock Exchange
MDD.AX,Mandalong Resources Limited,ASX,Other Category,Australia,Australia Stock Exchange
LTR.AX,Liontown Resources Limited,ASX,Industrial Metals & Minerals,Australia,Australia Stock Exchange
LIC.AX,Lifestyle Communities Limited,ASX,Real Estate Development,Australia,Australia Stock Exchange
LCE.AX,London City Equities Limited,ASX,Asset Management,Australia,Australia Stock Exchange
LBT.AX,LBT Innovations Limited,ASX,Medical Appliances & Equipment,Australia,Australia Stock Exchange
KPC.AX,Kazakhstan Potash Corporation Limited,ASX,Industrial Metals & Minerals,Australia,Australia Stock Exchange
KGM.AX,KalNorth Gold Mines Limited,ASX,Gold,Australia,Australia Stock Exchange
KGL.AX,KGL Resources Limited,ASX,Gold,Australia,Australia Stock Exchange
JYC.AX,Joyce Corporation Limited,ASX,"Specialty Retail, Other",Australia,Australia Stock Exchange
IPP.AX,iProperty Group Limited,ASX,Other Category,Australia,Australia Stock Exchange
IPL.AX,Incitec Pivot Limited,ASX,Agricultural Chemicals,Australia,Australia Stock Exchange
IPD.AX,ImpediMed Limited,ASX,Medical Appliances & Equipment,Australia,Australia Stock Exchange
IGO.AX,Independence Group NL,ASX,Industrial Metals & Minerals,Australia,Australia Stock Exchange
HFA.AX,HFA Holdings Limited,ASX,Asset Management,Australia,Australia Stock Exchange
HAW.AX,Hawthorn Resources Limited,ASX,Gold,Australia,Australia Stock Exchange
GXY.AX,Galaxy Resources Limited,ASX,Industrial Metals & Minerals,Australia,Australia Stock Exchange
GUD.AX,GUD Holdings Limited,ASX,Diversified Machinery,Australia,Australia Stock Exchange
GMG.AX,Goodman Group,ASX,REIT - Diversified,Australia,Australia Stock Exchange
GEM.AX,G8 Education Limited,ASX,Education & Training Services,Australia,Australia Stock Exchange
GCS.AX,Global Construction Services Limited,ASX,General Contractors,Australia,Australia Stock Exchange
GBA.AX,Grandbridge Limited,ASX,Other Category,Australia,Australia Stock Exchange
GAP.AX,Gale Pacific Limited,ASX,Textile Industrial,Australia,Australia Stock Exchange
FMG.AX,Fortescue Metals Group Limited,ASX,Industrial Metals & Minerals,Australia,Australia Stock Exchange
EME.AX,Energy Metals Limited,ASX,Industrial Metals & Minerals,Australia,Australia Stock Exchange
ELD.AX,Elders Limited,ASX,Farm Products,Australia,Australia Stock Exchange
ECO.AX,eChoice Limited,ASX,Other Category,Australia,Australia Stock Exchange
DVI.AX,iBuyNew Group Limited,ASX,Other Category,Australia,Australia Stock Exchange
DUO.AX,Zyber Holdings Limited,ASX,Other Category,Australia,Australia Stock Exchange
DUE.AX,DUET Group,ASX,Other Category,Australia,Australia Stock Exchange
DMP.AX,Domino's Pizza Enterprises Limited,ASX,Restaurants,Australia,Australia Stock Exchange
CVO.AX,Cover-More Group Limited,ASX,Other Category,Australia,Australia Stock Exchange
