Ticker,Name,Exchange
^MERV,MERVAL BUENOS AIRES,BUE
^TA100,TA-125,TLV
^ATX,ATX,VIE
^DJU,Dow Jones Utility Average,DJI
^AORD,ALL ORDINARIES,ASX
^AEX,AEX-INDEX,AMS
RTS.RS,RTSI INDEX,RUS
^XAX,NYSE AMEX COMPOSITE INDEX,NYS
399107.SZ,SHENZHEN INDEX A,SHZ
^DJA,Dow Jones Composite Average,DJI
^OSEAX,Oslo Bors All-share Index_GI,OSL
^NWX,NYSE ARCA NETWORKING INDEX,NYS
^TWOII,TOTC all stock subindex,TWO
^NQASPA8000LMAUDN,NASDAQ ASPA Financials Large Mi,NIM
^HUI,NYSE ARCA GOLD BUGS INDEX,NYS
^FTAS,UK FTSE All Share,FSI
^FTAI,FTSE AIM All-Share Index,FGI
^DRG,NYSE ARCA PHARMACEUTICAL INDEX,NYS
^AXJO,S&P/ASX 200,ASX
^XBD,NYSE ARCA SECURITIES BROKER/DEA,NYS
^BTK,NYSE ARCA BIOTECH INDEX,NYS
^XMI,NYSE ARCA MAJOR MARKET INDEX,NYS
^XABQ,ABA NASDAQ Community Bank Total,NIM
^REIT,Dow Jones Equity All REIT Total,DJI
^QAGR,NASDAQ OMX Global Agriculture,NIM
^NQNA9000LMJPYN,NASDAQ N America Tech Large Mid,NIM
^DAATR,NASDAQ US BROAD DIV ACHIEVR TR,NIM
^ABAQ,ABA Community Bank NASDAQ,NIM
MICEXINDEXCF.ME,MICEX IND,MCX
^VXAPL,CBOE EQUITY VIXON APPLE,WCB
^SBF250,CAC ALL-TRADABLE,PAR
^QIV,NASDAQ 100 After Hours Indicato,NIM
^P1DOW,^P1DOW,DJI
^OSTI,TOTC steel and iron subindex,TWO
^OMXNORDICEURPI,OMX_Nordic_EUR_PI,STO
^NQZALMZARN,NASDAQ South Africa Large Mid C,NIM
^NQZALMCAD,NASDAQ South Africa Large Mid C,NIM
^NQUSL8700AUDT,NQ US Lg Cap Financial Svcs AUD,NIM
^NQUSBLMAUDT,NASDAQ US Large Mid Cap AUD TR,NIM
^NQUSBLMAUDN,NASDAQ US Large Mid Cap AUD NT,NIM
^NQUSB8777LMAUDN,NQ US Inv Svcs Large Mid Cap A,NIM
^NQUSB8777LMAUD,NQ US Inv Svcs Large Mid Cap A,NIM
^NQUSB5371LMJPYN,NQ US Apparel Rtlrs Large Mid,NIM
^NQUSB5371LMJPY,NQ US Apparel Rtlrs Large Mid,NIM
^NQUSB3763LMGBPT,NQ US Clothing & Accessories L,NIM
^NQUSB2795LMEURN,NQ US Financial Admin Large Mi,NIM
^NQUSB2000LMAUD,NQ US Inds Large Mid Cap AUD I,NIM
^NQNALMN,NASDAQ N America Large Mid Cap,NIM
^NQNALMGBP,NASDAQ N America Large Mid Cap,NIM
^NQNALMEUR,NASDAQ N America Large Mid Cap,NIM
^NQNALMCAD,NASDAQ N America Large Mid Cap,NIM
^NQNALM,NASDAQ N America Large Mid Cap,NIM
^NQNA8300LM,NASDAQ N America Banks Large Mi,NIM
^NQNA8000LMGBPN,NASDAQ N America Financials Lg,NIM
^NQNA8000LMEURT,NASDAQ N America Financials Lg,NIM
^NQNA5300LMAUD,NASDAQ N America Retail Lg Md C,NIM
^NQNA5000LMJPYN,NASDAQ N America Cnsmr Svcs Lg,NIM
^NQNA5000LMJPY,NASDAQ N America Cnsmr Svcs Lg,NIM
^NQNA4000LMAUD,NASDAQ N America Health Care Lg,NIM
^NQNA3700LMEURN,NASDAQ N America Psnl&Hhld Good,NIM
^NQNA3000LMN,NASDAQ N America Cnsmr Goods Lg,NIM
^NQNA2700LMN,NASDAQ N America Ind Goods & Sv,NIM
^NQNA1000LMN,NASDAQ N America Basic Matls Lg,NIM
^NQNA0001LMCADN,NASDAQ N America Oil & Gas Lg M,NIM
^NQLALMAUD,NASDAQ Lat America Large Mid Ca,NIM
^NQDXUSMLTCGN,Nasdaq AlphaDEX Multi Cap Growt,NIM
^NQDXEU,NASDAQ AlphaDEX Europe Index,NIM
^NQDXEMSC,NASDAQ AlphaDEX EM Small Cap In,NIM
^NQDMXUSSCAUDT,NASDAQ Developed ex US SC TR AU,NIM
^NQDMXGBLMAUD,NASDAQ DM Ex UK Large Mid Cap A,NIM
^NQDMASPAXJPSCAUD,Nasdaq DM ASPA Ex Japan Small C,NIM
^NQDMASPALMGBPN,NASDAQ DM ASPA Large Mid Cap GB,NIM
^NQCALMAUD,NASDAQ Canada Large Mid Cap AUD,NIM
^NQAULMN,NASDAQ Australia Large Mid Cap,NIM
^NQATLMCADN,NASDAQ Austria Large Mid Cap CA,NIM
^NQASPALMGBPN,NASDAQ ASPA Large Mid Cap GBP N,NIM
^NQASPA8000LMEURN,NASDAQ ASPA Financials Large Mi,NIM
^NQASPA8000LM,NASDAQ ASPA Financials Large Mi,NIM
^NQASPA3500LMGBP,NASDAQ ASPA Food & Beverage Lg,NIM
^NQASPA0001LMEUR,NASDAQ ASPA Oil & Gas Large Mid,NIM
^GRNASIA,NASDAQ OMX Green Economy Asia U,NIM
^FIRSTNORTHDKK,First North All-Share DKK,STO
^DWAPUT,Dow Jones Asia/Pacific Utilitie,DJI
^DRBSN,NASDAQ US Buyback Achievers Sel,NIM
^DRBS,NASDAQ US Buyback Achievers Sel,NIM
^DRBGT,NASDAQ Global Buyback Achievers,NIM
^DRBG,NASDAQ Global Buyback Achievers,NIM
^CSE,^CSE,CSE
^CSCSY,NASDAQ OMX Alpha CSCO vs. SPY,NIM
^AXPJ,S&P/ASX 200 A-REIT,ASX
^AXHJ,S&P/ASX 200 Health Care,ASX
^AXGD,S&P/ASX All Ords Gold,ASX
^AXGAL,NYSE ARCA GLOBAL AIR LINE INDEX,NYS
^AXFJ,S&P/ASX 200 Financials,ASX
^AMZ,ALERIAN MLP INDEX,NYS
TMPS,"Tempus Applied Solutions Holdings, Inc.",PNK
SDR15Y.SW,SBI Dom AAA-BBB 15+ Y,EBS
PAX.PA,CAC ALL SHARES,PAR
INAX.DE,INAV IS.STX EUR 600 (DE),GER
IM25.BA,MERVAL 25 ARGENTINA,BUE
G7X4.DE,DAX+RISKTRIGRUS+ PF,GER
D1BM.DE,DAXPLUS FAMILY KURSINDEX,GER
ALL.PS,PHP INDEX ALL-SHARE,PHS
5FUA.DE,INAVISHSTCBDEXFIUCH,GER
3BMO.DE,INAVISHS&P500EU,GER
^NQLA1300JPYN,NASDAQ Lat America Chemicals JP,NIM
DH6W.DE,INAV DB X-T. TR CHF,GER
D8TW.DE,IN.IS.PHYS.SILVER ETC JPY,GER
^NQUSB5752LMAUDT,NQ US Gambling Large Mid Cap A,NIM
^NQASIA6000LMJPYT,NASDAQ Asia Telecom Large Mid C,NIM
^NQDMASIA1700JPYN,NASDAQ DM Asia Basic Resources,NIM
4N6Z.DE,DAXSUB ALL RETI K,GER
^NQUSB0587CADN,NQ US Bnchmk Alternative Fuels,NIM
^NQUSM9000AUDT,NQ US Md Cap Tech AUD TR Index,NIM
^NQUSB5373AUDN,NQ US Bnchmk Broadline Rtlrs AU,NIM
S63Y.SW,SBI Sec CB Mixed Assets Y,EBS
^NQUSS8771GBP,NQ US Sm Cap Asset Managers GBP,NIM
^NQNAMCCADN,NASDAQ N America Mid Cap CAD NT,NIM
^NQDM7000AUD,NASDAQ Developed Utilities AUD,NIM
^NQG6000AUDN,NASDAQ Global Telecom AUD NTR I,NIM
^NQEMMEA2000AUDT,NASDAQ EM MEA Inds AUD TR Index,NIM
^NQASPA3500LMT,NASDAQ ASPA Food & Beverage Lg,NIM
^NQEMASIA9000EUR,NASDAQ EM Asia Tech EUR Index,NIM
^NQDMASIA6000LM,NASDAQ DM Asia Telecom Large Mi,NIM
^NQLA7000GBPN,NASDAQ Lat America Utilities GB,NIM
^NQASIA4000,The NASDAQ Asia Health Care Ind,NIM
^NQAU7000GBP,NASDAQ Australia Utilities GBP,NIM
4Q5W.DE,INAV DE.ESTX SE.DIV.30 EO,GER
^SPAENAUP,S&P Agribusiness North America,SNP
SBFR2T.SW,SBI For AA T,EBS
^NQDMASPA5500GBPN,NASDAQ DM ASPA Media GBP NTR In,NIM
^NQDMXNASCAUDT,NASDAQ Developed ex North Ameri,NIM
^NQLA5000LM,NASDAQ Lat America Cnsmr Svcs L,NIM
ST13Y.SW,SBI AAA-BBB 1-3 Y,EBS
^NQDMASPA4000JPY,NASDAQ DM ASPA Health Care JPY,NIM
^NQG2300AUDT,NASDAQ Global Constr & Matls AU,NIM
SG71P.SW,SBI Dom Gov 7-10 P,EBS
^NQDMXUS2000AUDN,NASDAQ DM Ex US Industrials AUD,NIM
^NQLALMCADN,NASDAQ Lat America Large Mid Ca,NIM
^NQDMEU3300LMEUR,NASDAQ DM Europe Auto & Parts L,NIM
^NQG3300AUDN,NASDAQ Global Auto & Parts AUD,NIM
^NQEMMEA8500AUD,NASDAQ EM MEA Ins AUD Index,NIM
^NQNA8300JPYT,NASDAQ N America Banks JPY TR I,NIM
^NQLALCCADT,NASDAQ Lat America Large Cap CA,NIM
4MW2.DE,INAVISHSTXEU50UJPY,GER
^NQNA8500T,The NASDAQ North America Insura,NIM
^SP500-25102010,S&P 500 Automobile Manufacturer,SNP
SFR15Y.SW,SBI For AAA-BBB 15+ Y,EBS
^NQLA8300LMGBP,NASDAQ Lat America Banks Lg Md,NIM
^NQTW0001AUDT,NASDAQ Taiwan Oil & Gas AUD TR,NIM
NZREG.NZ,S&P/NZX ALL REAL ESTATE (INDUST,NZE
LZPL.DE,INAV DB X-T D600 HC,GER
